idade,renda_anual,tipo_moradia,tempo_emprego,finalidade_emprestimo,classe_emprestimo,valor_emprestimo,taxa_juros,inadimplente,percentual_renda,historico_inadimplencia,tempo_historico_credito
22,59000,Alugada,123.0,Pessoal,D,35000,16.02,1,0.59,Sim,3
21,9600,Própria,5.0,Educação,B,1000,11.14,0,0.1,Não,2
25,9600,Financiada,1.0,Saúde,C,5500,12.87,1,0.57,Não,3
23,65500,Alugada,4.0,Saúde,C,35000,15.23,1,0.53,Não,2
24,54400,Alugada,8.0,Saúde,C,35000,14.27,1,0.55,Sim,4
21,9900,Própria,2.0,Empreendedorismo,A,2500,7.14,1,0.25,Não,2
26,77100,Alugada,8.0,Educação,B,35000,12.42,1,0.45,Não,3
24,78956,Alugada,5.0,Saúde,B,35000,11.11,1,0.44,Não,4
24,83000,Alugada,8.0,Pessoal,A,35000,8.9,1,0.42,Não,2
21,10000,Própria,6.0,Empreendedorismo,D,1600,14.74,1,0.16,Não,3
22,85000,Alugada,6.0,Empreendedorismo,B,35000,10.37,1,0.41,Não,4
21,10000,Própria,2.0,Reforma residencial,A,4500,8.63,1,0.45,Não,2
23,95000,Alugada,2.0,Empreendedorismo,A,35000,7.9,1,0.37,Não,2
26,108160,Alugada,4.0,Educação,E,35000,18.39,1,0.32,Não,4
23,115000,Alugada,2.0,Educação,A,35000,7.9,0,0.3,Não,4
23,500000,Financiada,7.0,Consolidação de dívidas,B,30000,10.65,0,0.06,Não,3
23,120000,Alugada,0.0,Educação,A,35000,7.9,0,0.29,Não,4
23,92111,Alugada,7.0,Saúde,F,35000,20.25,1,0.32,Não,4
23,113000,Alugada,8.0,Consolidação de dívidas,D,35000,18.25,1,0.31,Não,4
24,10800,Financiada,8.0,Educação,B,1750,10.99,1,0.16,Não,2
25,162500,Alugada,2.0,Empreendedorismo,A,35000,7.49,0,0.22,Não,4
25,137000,Alugada,9.0,Pessoal,E,34800,16.77,0,0.25,Sim,2
22,65000,Alugada,4.0,Educação,D,34000,17.58,1,0.52,Não,4
24,10980,Própria,0.0,Pessoal,A,1500,7.29,0,0.14,Não,3
22,80000,Alugada,3.0,Pessoal,D,33950,14.54,1,0.42,Sim,4
24,67746,Alugada,8.0,Reforma residencial,C,33000,12.68,1,0.49,Não,3
